progress | sum    | lcmap  | lcoff  | lleng  | angle  | Acc    | speed

000/0002k| 0.87861| 0.28785| 0.12103| 0.24410| 0.22563| 0.00000| 23.8 
000/0002k| 0.95216| 0.33217| 0.12150| 0.26408| 0.23442| 0.00000| 23.4 
000/0002k| 0.88491| 0.30178| 0.12095| 0.23568| 0.22650| 0.00000| 24.3 
000/0002k| 0.83981| 0.28289| 0.12311| 0.21957| 0.21424| 0.00000| 24.3 
000/0002k| 0.80995| 0.26859| 0.12302| 0.21360| 0.20474| 0.00000| 24.2 
000/0003k| 0.84318| 0.29943| 0.12093| 0.21555| 0.20728| 0.00000| 24.0 
000/0003k| 0.87455| 0.29595| 0.12053| 0.24519| 0.21289| 0.00000| 24.0 
000/0003k| 0.91132| 0.33261| 0.11895| 0.26374| 0.19602| 0.00000| 24.2 
000/0003k| 0.83879| 0.30646| 0.12117| 0.20495| 0.20621| 0.00000| 24.3 
000/0003k| 0.87106| 0.32627| 0.12022| 0.22374| 0.20083| 0.00000| 23.7 
000/0003k| 0.83673| 0.29740| 0.11932| 0.22166| 0.19835| 0.00000| 24.1 
000/0003k| 0.88462| 0.31512| 0.11843| 0.24644| 0.20463| 0.00000| 23.9 
000/0003k| 0.81908| 0.28640| 0.11878| 0.20532| 0.20858| 0.00000| 24.3 
000/0003k| 0.83465| 0.29939| 0.12508| 0.22744| 0.18274| 0.00000| 24.3 
000/0003k| 0.78500| 0.27609| 0.11735| 0.20389| 0.18767| 0.00000| 24.2 
000/0003k| 0.82615| 0.28279| 0.11978| 0.23752| 0.18606| 0.00000| 24.2 
000/0003k| 0.78942| 0.27350| 0.11991| 0.20968| 0.18633| 0.00000| 24.3 
000/0003k| 0.86083| 0.30238| 0.12011| 0.24540| 0.19294| 0.00000| 24.0 
000/0003k| 0.80158| 0.28299| 0.12260| 0.21430| 0.18169| 0.00000| 24.0 
000/0004k| 0.80003| 0.29955| 0.12066| 0.21713| 0.16269| 0.00000| 24.2 
000/0004k| 0.75652| 0.27524| 0.11572| 0.20098| 0.16459| 0.00000| 24.3 
000/0004k| 0.76386| 0.26842| 0.12049| 0.21004| 0.16490| 0.00000| 06.1 
000/0004k| 0.80436| 0.28791| 0.11930| 0.21825| 0.17891| 0.00000| 24.5 
000/0004k| 0.77233| 0.28247| 0.11712| 0.20437| 0.16836| 0.00000| 24.4 
000/0004k| 0.77868| 0.27647| 0.11738| 0.21067| 0.17416| 0.00000| 16.5 
000/0004k| 0.79659| 0.28805| 0.11993| 0.21368| 0.17492| 0.00000| 24.4 
000/0004k| 0.75993| 0.28685| 0.11737| 0.17901| 0.17670| 0.00000| 24.5 
000/0004k| 0.77383| 0.27791| 0.12066| 0.19067| 0.18458| 0.00000| 24.6 
000/0004k| 0.85413| 0.33107| 0.11931| 0.21276| 0.19099| 0.00000| 24.5 
000/0004k| 0.75545| 0.27559| 0.11724| 0.18966| 0.17297| 0.00000| 24.4 
000/0004k| 0.77744| 0.27497| 0.11830| 0.22223| 0.16195| 0.00000| 24.5 
000/0004k| 0.73582| 0.26857| 0.11804| 0.17470| 0.17451| 0.00000| 24.4 
000/0004k| 0.71853| 0.26658| 0.11918| 0.17440| 0.15836| 0.00000| 24.4 
000/0005k| 0.74209| 0.28679| 0.11592| 0.18815| 0.15123| 0.00000| 24.4 
000/0005k| 0.76972| 0.28233| 0.11730| 0.18435| 0.18574| 0.00000| 24.4 
000/0005k| 0.74551| 0.28293| 0.11646| 0.18377| 0.16235| 0.00000| 24.2 
000/0005k| 0.73641| 0.27987| 0.11590| 0.17207| 0.16857| 0.00000| 24.3 
000/0005k| 0.74977| 0.28269| 0.11313| 0.18771| 0.16624| 0.00000| 24.3 
000/0005k| 0.73872| 0.26900| 0.11418| 0.17935| 0.17618| 0.00000| 23.3 
000/0005k| 0.79302| 0.28485| 0.11402| 0.21579| 0.17836| 0.00000| 05.8 
000/0005k| 0.78178| 0.28398| 0.11953| 0.21083| 0.16744| 0.00000| 24.5 
000/0005k| 0.71549| 0.25763| 0.11663| 0.16045| 0.18078| 0.00000| 24.5 
000/0005k| 0.67861| 0.25798| 0.11429| 0.17112| 0.13522| 0.00000| 10.8 
000/0005k| 0.72017| 0.26973| 0.11827| 0.18129| 0.15089| 0.00000| 06.7 
000/0005k| 0.69693| 0.25773| 0.11539| 0.16178| 0.16203| 0.00000| 15.9 
000/0005k| 0.71795| 0.26646| 0.11517| 0.17488| 0.16144| 0.00000| 24.5 
000/0005k| 0.73653| 0.26572| 0.11475| 0.18606| 0.17001| 0.00000| 24.6 
000/0006k| 0.66451| 0.26307| 0.11546| 0.15141| 0.13457| 0.00000| 24.5 
000/0006k| 0.76832| 0.28977| 0.11682| 0.20421| 0.15751| 0.00000| 24.6 
000/0006k| 0.69674| 0.28046| 0.11622| 0.17145| 0.12861| 0.00000| 24.5 
000/0006k| 0.75175| 0.27297| 0.11752| 0.20699| 0.15427| 0.00000| 24.4 
000/0006k| 0.69592| 0.25306| 0.11638| 0.17239| 0.15409| 0.00000| 24.5 
000/0006k| 0.69163| 0.27400| 0.11418| 0.14561| 0.15783| 0.00000| 24.4 
000/0006k| 0.74879| 0.28604| 0.11544| 0.17309| 0.17422| 0.00000| 24.5 
000/0006k| 0.72219| 0.26581| 0.11449| 0.18353| 0.15835| 0.00000| 24.5 
000/0006k| 0.70349| 0.26880| 0.11229| 0.18365| 0.13876| 0.00000| 24.4 
000/0006k| 0.68892| 0.27373| 0.11737| 0.16852| 0.12930| 0.00000| 24.4 
000/0006k| 0.74144| 0.29226| 0.11725| 0.18929| 0.14265| 0.00000| 24.4 
000/0006k| 0.68226| 0.26266| 0.11631| 0.15361| 0.14968| 0.00000| 24.4 
000/0006k| 0.69083| 0.26773| 0.11560| 0.15548| 0.15201| 0.00000| 24.3 
000/0006k| 0.68531| 0.26001| 0.11323| 0.17050| 0.14158| 0.00000| 23.0 
000/0007k| 0.70368| 0.26239| 0.11577| 0.17320| 0.15231| 0.00000| 24.3 
000/0007k| 0.72448| 0.29309| 0.11778| 0.17052| 0.14309| 0.00000| 24.4 
000/0007k| 0.66471| 0.25380| 0.11487| 0.15446| 0.14157| 0.00000| 24.1 
000/0007k| 0.66072| 0.24767| 0.11377| 0.15799| 0.14128| 0.00000| 14.8 
000/0007k| 0.69015| 0.26023| 0.11669| 0.17435| 0.13887| 0.00000| 24.4 
000/0007k| 0.64290| 0.26224| 0.11775| 0.14734| 0.11557| 0.00000| 24.4 
000/0007k| 0.69203| 0.27653| 0.11658| 0.15304| 0.14589| 0.00000| 24.4 
000/0007k| 0.67745| 0.26109| 0.11644| 0.15049| 0.14943| 0.00000| 24.3 
000/0007k| 0.65539| 0.24998| 0.11364| 0.14595| 0.14582| 0.00000| 24.4 
000/0007k| 0.63662| 0.24082| 0.11313| 0.13775| 0.14491| 0.00000| 24.4 
000/0007k| 0.71682| 0.25600| 0.11218| 0.17120| 0.17744| 0.00000| 23.9 
000/0007k| 0.69764| 0.24402| 0.11640| 0.15284| 0.18438| 0.00000| 24.0 
000/0007k| 0.63945| 0.23728| 0.11525| 0.14539| 0.14154| 0.00000| 23.9 
000/0007k| 0.68860| 0.25698| 0.11442| 0.16706| 0.15013| 0.00000| 24.3 
000/0008k| 0.65126| 0.24480| 0.11145| 0.14955| 0.14547| 0.00000| 24.4 
