progress | sum    | lcmap  | lcoff  | lleng  | angle  | Acc    | speed

029/0872k| 0.39214| 0.17016| 0.09491| 0.05765| 0.06942| 0.00000| 23.1 
029/0872k| 0.40008| 0.15478| 0.09270| 0.04985| 0.10275| 0.00000| 24.6 
029/0872k| 0.39041| 0.15189| 0.09074| 0.03987| 0.10791| 0.00000| 24.5 
029/0872k| 0.35579| 0.16083| 0.08963| 0.04677| 0.05857| 0.00000| 24.8 
029/0872k| 0.41024| 0.16775| 0.09357| 0.05130| 0.09762| 0.00000| 24.5 
029/0872k| 0.41227| 0.17815| 0.09722| 0.05472| 0.08219| 0.00000| 24.5 
029/0872k| 0.39088| 0.15918| 0.09344| 0.05054| 0.08773| 0.00000| 24.5 
029/0872k| 0.41942| 0.15375| 0.09090| 0.06011| 0.11465| 0.00000| 24.4 
029/0872k| 0.38029| 0.14864| 0.09219| 0.03796| 0.10150| 0.00000| 23.6 
029/0872k| 0.38748| 0.16674| 0.09044| 0.05517| 0.07514| 0.00000| 24.5 
029/0872k| 0.40592| 0.16595| 0.09334| 0.04920| 0.09742| 0.00000| 24.5 
029/0872k| 0.38975| 0.14687| 0.09260| 0.04623| 0.10405| 0.00000| 24.4 
029/0873k| 0.37366| 0.15447| 0.08982| 0.05096| 0.07841| 0.00000| 24.8 
029/0873k| 0.39955| 0.16343| 0.09160| 0.05322| 0.09130| 0.00000| 24.0 
029/0873k| 0.38696| 0.16576| 0.09512| 0.04794| 0.07814| 0.00000| 24.5 
029/0873k| 0.38484| 0.16591| 0.09117| 0.05091| 0.07685| 0.00000| 24.7 
029/0873k| 0.39459| 0.17123| 0.09170| 0.04435| 0.08730| 0.00000| 24.7 
029/0873k| 0.42425| 0.15583| 0.09199| 0.05002| 0.12641| 0.00000| 24.5 
029/0873k| 0.33998| 0.14538| 0.08683| 0.04188| 0.06588| 0.00000| 24.8 
029/0873k| 0.38136| 0.15191| 0.09272| 0.04047| 0.09627| 0.00000| 24.6 
029/0873k| 0.37484| 0.15788| 0.09363| 0.04935| 0.07397| 0.00000| 24.7 
029/0873k| 0.39027| 0.16651| 0.09507| 0.05064| 0.07806| 0.00000| 24.5 
029/0873k| 0.39196| 0.16304| 0.09249| 0.04424| 0.09219| 0.00000| 24.4 
029/0873k| 0.40874| 0.14648| 0.09092| 0.05540| 0.11594| 0.00000| 24.8 
029/0873k| 0.38546| 0.14903| 0.09178| 0.04543| 0.09921| 0.00000| 23.2 
029/0873k| 0.37109| 0.15446| 0.09193| 0.03857| 0.08613| 0.00000| 24.6 
029/0874k| 0.37376| 0.14693| 0.09274| 0.04047| 0.09361| 0.00000| 24.3 
029/0874k| 0.36751| 0.15730| 0.09630| 0.04687| 0.06704| 0.00000| 24.8 
029/0874k| 0.38217| 0.15405| 0.09115| 0.05496| 0.08201| 0.00000| 24.8 
029/0874k| 0.36235| 0.14278| 0.09059| 0.03829| 0.09069| 0.00000| 24.8 
029/0874k| 0.37048| 0.16639| 0.08920| 0.04134| 0.07355| 0.00000| 23.7 
029/0874k| 0.35832| 0.14536| 0.09007| 0.04512| 0.07777| 0.00000| 24.4 
029/0874k| 0.37753| 0.15642| 0.09198| 0.04730| 0.08183| 0.00000| 24.8 
029/0874k| 0.40231| 0.16070| 0.09636| 0.05059| 0.09467| 0.00000| 24.3 
029/0874k| 0.34643| 0.14713| 0.09107| 0.04209| 0.06614| 0.00000| 24.5 
029/0874k| 0.36530| 0.15991| 0.09009| 0.04233| 0.07298| 0.00000| 24.7 
029/0874k| 0.39554| 0.15495| 0.09345| 0.04402| 0.10312| 0.00000| 24.1 
029/0874k| 0.42717| 0.17612| 0.09305| 0.05869| 0.09931| 0.00000| 24.6 
029/0874k| 0.37321| 0.15456| 0.09105| 0.05304| 0.07456| 0.00000| 24.8 
029/0874k| 0.39770| 0.14842| 0.09182| 0.04577| 0.11169| 0.00000| 24.5 
029/0875k| 0.39627| 0.16144| 0.09152| 0.04983| 0.09348| 0.00000| 24.5 
029/0875k| 0.40571| 0.15749| 0.09573| 0.05204| 0.10044| 0.00000| 24.8 
029/0875k| 0.39528| 0.16119| 0.09358| 0.04989| 0.09062| 0.00000| 24.7 
029/0875k| 0.38767| 0.16076| 0.09433| 0.06049| 0.07210| 0.00000| 24.8 
029/0875k| 0.39577| 0.16440| 0.09547| 0.04584| 0.09005| 0.00000| 24.5 
029/0875k| 0.38016| 0.16863| 0.09395| 0.05053| 0.06706| 0.00000| 24.7 
029/0875k| 0.42375| 0.15730| 0.09448| 0.04701| 0.12496| 0.00000| 24.6 
029/0875k| 0.37492| 0.15563| 0.09071| 0.04386| 0.08473| 0.00000| 24.8 
029/0875k| 0.38379| 0.15430| 0.09004| 0.04658| 0.09287| 0.00000| 24.7 
029/0875k| 0.37057| 0.15547| 0.08727| 0.04961| 0.07823| 0.00000| 23.9 
029/0875k| 0.33660| 0.14392| 0.08998| 0.04116| 0.06153| 0.00000| 24.4 
029/0875k| 0.38579| 0.16025| 0.09541| 0.05096| 0.07916| 0.00000| 24.8 
029/0875k| 0.37771| 0.15082| 0.09175| 0.04182| 0.09333| 0.00000| 24.7 
029/0875k| 0.39745| 0.15588| 0.09497| 0.04845| 0.09815| 0.00000| 24.8 
029/0876k| 0.37892| 0.14316| 0.08957| 0.04065| 0.10554| 0.00000| 24.4 
029/0876k| 0.37842| 0.15599| 0.09584| 0.05232| 0.07428| 0.00000| 24.4 
029/0876k| 0.36796| 0.15175| 0.09018| 0.04949| 0.07654| 0.00000| 24.7 
029/0876k| 0.38698| 0.15595| 0.09340| 0.03859| 0.09905| 0.00000| 23.7 
029/0876k| 0.40116| 0.16288| 0.09524| 0.05391| 0.08913| 0.00000| 24.1 
029/0876k| 0.41463| 0.15528| 0.09239| 0.04826| 0.11871| 0.00000| 24.3 
029/0876k| 0.35646| 0.15214| 0.09177| 0.05101| 0.06152| 0.00000| 24.3 
029/0876k| 0.39091| 0.16130| 0.08944| 0.05012| 0.09005| 0.00000| 24.8 
029/0876k| 0.39969| 0.16370| 0.09391| 0.05596| 0.08613| 0.00000| 23.5 
029/0876k| 0.37224| 0.15369| 0.09104| 0.04603| 0.08148| 0.00000| 24.3 
029/0876k| 0.36354| 0.13977| 0.08860| 0.04643| 0.08875| 0.00000| 24.1 
029/0876k| 0.40326| 0.16425| 0.09028| 0.05310| 0.09563| 0.00000| 24.7 
029/0876k| 0.38535| 0.16070| 0.09213| 0.05397| 0.07856| 0.00000| 24.5 
029/0876k| 0.40315| 0.15603| 0.09035| 0.05097| 0.10580| 0.00000| 24.8 
029/0877k| 0.39214| 0.16300| 0.09509| 0.05308| 0.08098| 0.00000| 24.8 
029/0877k| 0.38747| 0.15511| 0.09471| 0.05281| 0.08484| 0.00000| 24.8 
029/0877k| 0.40228| 0.16744| 0.09351| 0.05241| 0.08892| 0.00000| 24.5 
029/0877k| 0.37012| 0.14755| 0.08923| 0.04671| 0.08662| 0.00000| 24.7 
029/0877k| 0.43608| 0.16201| 0.09517| 0.05792| 0.12099| 0.00000| 24.7 
029/0877k| 0.38883| 0.15914| 0.09340| 0.04477| 0.09152| 0.00000| 24.6 
029/0877k| 0.36809| 0.15962| 0.09230| 0.04454| 0.07163| 0.00000| 24.6 
029/0877k| 0.39257| 0.15642| 0.09004| 0.04823| 0.09788| 0.00000| 23.7 
029/0877k| 0.37230| 0.15587| 0.09242| 0.04530| 0.07871| 0.00000| 24.6 
029/0877k| 0.43492| 0.16886| 0.09869| 0.05031| 0.11706| 0.00000| 24.7 
029/0877k| 0.37088| 0.14563| 0.09282| 0.04312| 0.08930| 0.00000| 24.7 
029/0877k| 0.36761| 0.14780| 0.09120| 0.04816| 0.08044| 0.00000| 24.8 
029/0877k| 0.44168| 0.19003| 0.09422| 0.06554| 0.09190| 0.00000| 24.7 
029/0877k| 0.39371| 0.15673| 0.09372| 0.05084| 0.09241| 0.00000| 24.6 
029/0878k| 0.37764| 0.15189| 0.09433| 0.04895| 0.08246| 0.00000| 24.7 
029/0878k| 0.35175| 0.14561| 0.08849| 0.04038| 0.07727| 0.00000| 24.5 
029/0878k| 0.37716| 0.15410| 0.09023| 0.04473| 0.08810| 0.00000| 24.6 
029/0878k| 0.39356| 0.16341| 0.09201| 0.05418| 0.08397| 0.00000| 24.7 
029/0878k| 0.43410| 0.17219| 0.09366| 0.05901| 0.10924| 0.00000| 24.1 
029/0878k| 0.39508| 0.15678| 0.09466| 0.04696| 0.09668| 0.00000| 24.4 
029/0878k| 0.37123| 0.14820| 0.09200| 0.04488| 0.08616| 0.00000| 24.6 
029/0878k| 0.35341| 0.14840| 0.09207| 0.04161| 0.07134| 0.00000| 24.7 
029/0878k| 0.38250| 0.16483| 0.09360| 0.05138| 0.07268| 0.00000| 24.7 
029/0878k| 0.38105| 0.15544| 0.08887| 0.05001| 0.08674| 0.00000| 23.8 
029/0878k| 0.40527| 0.14541| 0.09148| 0.04755| 0.12084| 0.00000| 24.8 
029/0878k| 0.40468| 0.15583| 0.09213| 0.05575| 0.10097| 0.00000| 24.3 
029/0878k| 0.41935| 0.15373| 0.09105| 0.04375| 0.13082| 0.00000| 24.0 
029/0878k| 0.34918| 0.15827| 0.09366| 0.04300| 0.05425| 0.00000| 24.3 
029/0879k| 0.40371| 0.17450| 0.09262| 0.05080| 0.08580| 0.00000| 24.7 
029/0879k| 0.36928| 0.14830| 0.09187| 0.04110| 0.08801| 0.00000| 24.8 
029/0879k| 0.37995| 0.15227| 0.09140| 0.04705| 0.08923| 0.00000| 24.7 
029/0879k| 0.39752| 0.15899| 0.09092| 0.05197| 0.09563| 0.00000| 24.4 
029/0879k| 0.41699| 0.16011| 0.09441| 0.05155| 0.11092| 0.00000| 24.6 
029/0879k| 0.42270| 0.16739| 0.09211| 0.05711| 0.10609| 0.00000| 24.6 
029/0879k| 0.39901| 0.15200| 0.09359| 0.05513| 0.09828| 0.00000| 24.7 
029/0879k| 0.39313| 0.15183| 0.09219| 0.05589| 0.09322| 0.00000| 24.7 
029/0879k| 0.36832| 0.15231| 0.09142| 0.04316| 0.08143| 0.00000| 24.5 
029/0879k| 0.36419| 0.15676| 0.09112| 0.04874| 0.06756| 0.00000| 24.5 
029/0879k| 0.37263| 0.15322| 0.09102| 0.04559| 0.08281| 0.00000| 24.2 
029/0879k| 0.40649| 0.17371| 0.09677| 0.05553| 0.08048| 0.00000| 24.8 
029/0879k| 0.41015| 0.15524| 0.09268| 0.05434| 0.10789| 0.00000| 24.7 
029/0879k| 0.38399| 0.15402| 0.09337| 0.04230| 0.09429| 0.00000| 24.3 
029/0880k| 0.38290| 0.17031| 0.09354| 0.04503| 0.07403| 0.00000| 23.7 
029/0880k| 0.38685| 0.16319| 0.09668| 0.04779| 0.07920| 0.00000| 24.3 
029/0880k| 0.39031| 0.15243| 0.09347| 0.04621| 0.09820| 0.00000| 24.7 
029/0880k| 0.38029| 0.15070| 0.09241| 0.04334| 0.09384| 0.00000| 24.7 
029/0880k| 0.36917| 0.14663| 0.09028| 0.04078| 0.09148| 0.00000| 24.7 
029/0880k| 0.35364| 0.14459| 0.09385| 0.04458| 0.07062| 0.00000| 24.7 
029/0880k| 0.42388| 0.16049| 0.09390| 0.05298| 0.11651| 0.00000| 24.6 
029/0880k| 0.42087| 0.17745| 0.09473| 0.05332| 0.09536| 0.00000| 24.6 
029/0880k| 0.35735| 0.15218| 0.09019| 0.04543| 0.06955| 0.00000| 24.7 
029/0880k| 0.37322| 0.15047| 0.09273| 0.04922| 0.08079| 0.00000| 24.9 
029/0880k| 0.37706| 0.13933| 0.08775| 0.03790| 0.11208| 0.00000| 24.7 
029/0880k| 0.37458| 0.15390| 0.09787| 0.04279| 0.08003| 0.00000| 24.7 
029/0880k| 0.38441| 0.14878| 0.09199| 0.05280| 0.09084| 0.00000| 24.6 
029/0880k| 0.37079| 0.14905| 0.09055| 0.04184| 0.08935| 0.00000| 24.5 
029/0881k| 0.39934| 0.16872| 0.09541| 0.05402| 0.08119| 0.00000| 24.3 
029/0881k| 0.36905| 0.15729| 0.09177| 0.04825| 0.07174| 0.00000| 24.8 
029/0881k| 0.37119| 0.15988| 0.09234| 0.04295| 0.07602| 0.00000| 24.6 
029/0881k| 0.42790| 0.16018| 0.09427| 0.06126| 0.11218| 0.00000| 23.7 
029/0881k| 0.35904| 0.14815| 0.09028| 0.04568| 0.07493| 0.00000| 24.3 
029/0881k| 0.38340| 0.16843| 0.09292| 0.04740| 0.07465| 0.00000| 24.9 
029/0881k| 0.39792| 0.15910| 0.09139| 0.05348| 0.09395| 0.00000| 23.5 
029/0881k| 0.40277| 0.16186| 0.08916| 0.05481| 0.09694| 0.00000| 24.8 
029/0881k| 0.37104| 0.14551| 0.08948| 0.05030| 0.08576| 0.00000| 24.8 
029/0881k| 0.37769| 0.14756| 0.09249| 0.04598| 0.09166| 0.00000| 24.5 
029/0881k| 0.39696| 0.15951| 0.09193| 0.04672| 0.09880| 0.00000| 24.7 
029/0881k| 0.37124| 0.15251| 0.09520| 0.04321| 0.08031| 0.00000| 24.4 
029/0881k| 0.40524| 0.16299| 0.09520| 0.05368| 0.09337| 0.00000| 24.7 
029/0882k| 0.42314| 0.17536| 0.09281| 0.05783| 0.09714| 0.00000| 24.6 
029/0882k| 0.38653| 0.15970| 0.09190| 0.05733| 0.07760| 0.00000| 24.7 
029/0882k| 0.39299| 0.15923| 0.09249| 0.05040| 0.09087| 0.00000| 24.3 
029/0882k| 0.38453| 0.15640| 0.09065| 0.04502| 0.09247| 0.00000| 24.5 
029/0882k| 0.36056| 0.15753| 0.09293| 0.04814| 0.06196| 0.00000| 24.4 
029/0882k| 0.36644| 0.14387| 0.09268| 0.04093| 0.08896| 0.00000| 24.5 
029/0882k| 0.37648| 0.15381| 0.08991| 0.04767| 0.08509| 0.00000| 24.6 
029/0882k| 0.37645| 0.16068| 0.09665| 0.05008| 0.06903| 0.00000| 24.4 
029/0882k| 0.40594| 0.15686| 0.09028| 0.04319| 0.11561| 0.00000| 24.5 
029/0882k| 0.41712| 0.17185| 0.09610| 0.05580| 0.09336| 0.00000| 24.8 
029/0882k| 0.37967| 0.14929| 0.09395| 0.03847| 0.09796| 0.00000| 24.6 
029/0882k| 0.36965| 0.14792| 0.09324| 0.04494| 0.08355| 0.00000| 24.5 
029/0882k| 0.39441| 0.16244| 0.09197| 0.05270| 0.08730| 0.00000| 24.5 
029/0882k| 0.39429| 0.17635| 0.09685| 0.04970| 0.07139| 0.00000| 24.6 
029/0883k| 0.41916| 0.16800| 0.09108| 0.05584| 0.10424| 0.00000| 24.8 
029/0883k| 0.41196| 0.16699| 0.09705| 0.04962| 0.09830| 0.00000| 24.2 
029/0883k| 0.34962| 0.15153| 0.09018| 0.04157| 0.06634| 0.00000| 24.4 
029/0883k| 0.36060| 0.14809| 0.08892| 0.04051| 0.08309| 0.00000| 24.5 
029/0883k| 0.36381| 0.14794| 0.08992| 0.03904| 0.08690| 0.00000| 24.5 
029/0883k| 0.38142| 0.16332| 0.09648| 0.05290| 0.06872| 0.00000| 24.4 
029/0883k| 0.37069| 0.16413| 0.09010| 0.04361| 0.07285| 0.00000| 24.6 
029/0883k| 0.38625| 0.15175| 0.09611| 0.05216| 0.08622| 0.00000| 24.8 
029/0883k| 0.38053| 0.14988| 0.09164| 0.04352| 0.09549| 0.00000| 24.3 
029/0883k| 0.36826| 0.15816| 0.09324| 0.04113| 0.07573| 0.00000| 24.0 
029/0883k| 0.38689| 0.16163| 0.09477| 0.05590| 0.07459| 0.00000| 24.7 
029/0883k| 0.37123| 0.16686| 0.09523| 0.05096| 0.05818| 0.00000| 24.6 
029/0883k| 0.37370| 0.15007| 0.09460| 0.04473| 0.08430| 0.00000| 24.4 
029/0883k| 0.39666| 0.16116| 0.09175| 0.04332| 0.10043| 0.00000| 24.6 
029/0884k| 0.38478| 0.14744| 0.09279| 0.04498| 0.09957| 0.00000| 24.5 
029/0884k| 0.35129| 0.15539| 0.09341| 0.04520| 0.05728| 0.00000| 24.4 
029/0884k| 0.40038| 0.15585| 0.09367| 0.04443| 0.10644| 0.00000| 24.4 
029/0884k| 0.41107| 0.15322| 0.09274| 0.05247| 0.11264| 0.00000| 24.7 
029/0884k| 0.34319| 0.15108| 0.08786| 0.04440| 0.05986| 0.00000| 24.8 
029/0884k| 0.38020| 0.15979| 0.09550| 0.04381| 0.08110| 0.00000| 24.7 
029/0884k| 0.38410| 0.14989| 0.09396| 0.05200| 0.08825| 0.00000| 23.7 
029/0884k| 0.37689| 0.15614| 0.09177| 0.04952| 0.07945| 0.00000| 24.7 
029/0884k| 0.36106| 0.15435| 0.09295| 0.04191| 0.07185| 0.00000| 24.5 
029/0884k| 0.36417| 0.15431| 0.09288| 0.04597| 0.07101| 0.00000| 24.6 
029/0884k| 0.42511| 0.15040| 0.09417| 0.04346| 0.13707| 0.00000| 24.5 
029/0884k| 0.37315| 0.15620| 0.09356| 0.04409| 0.07930| 0.00000| 24.6 
029/0884k| 0.36281| 0.14694| 0.09335| 0.04051| 0.08200| 0.00000| 24.6 
029/0884k| 0.38439| 0.14415| 0.09078| 0.04209| 0.10737| 0.00000| 24.3 
029/0885k| 0.37635| 0.15535| 0.09188| 0.04787| 0.08125| 0.00000| 24.5 
029/0885k| 0.37774| 0.15671| 0.09031| 0.04691| 0.08381| 0.00000| 24.7 
029/0885k| 0.36660| 0.14942| 0.09026| 0.04069| 0.08623| 0.00000| 24.7 
029/0885k| 0.36196| 0.14238| 0.09100| 0.03817| 0.09042| 0.00000| 24.1 
029/0885k| 0.37954| 0.15976| 0.09372| 0.04791| 0.07816| 0.00000| 23.6 
029/0885k| 0.41518| 0.15636| 0.09363| 0.05029| 0.11490| 0.00000| 24.6 
029/0885k| 0.45676| 0.18711| 0.09976| 0.06359| 0.10630| 0.00000| 24.7 
029/0885k| 0.35983| 0.15126| 0.08817| 0.04172| 0.07868| 0.00000| 24.6 
029/0885k| 0.41119| 0.15288| 0.09029| 0.05451| 0.11350| 0.00000| 24.6 
029/0885k| 0.37178| 0.15546| 0.09532| 0.05875| 0.06225| 0.00000| 24.6 
029/0885k| 0.37108| 0.15739| 0.08944| 0.04870| 0.07554| 0.00000| 24.8 
029/0885k| 0.35892| 0.14910| 0.09304| 0.04165| 0.07513| 0.00000| 24.4 
029/0885k| 0.40595| 0.15346| 0.09073| 0.04975| 0.11201| 0.00000| 24.3 
029/0885k| 0.39450| 0.16758| 0.09254| 0.05150| 0.08289| 0.00000| 24.8 
029/0886k| 0.39253| 0.17144| 0.09258| 0.04977| 0.07873| 0.00000| 24.4 
029/0886k| 0.36477| 0.15218| 0.08723| 0.04172| 0.08365| 0.00000| 24.7 
029/0886k| 0.38227| 0.15461| 0.09265| 0.06127| 0.07375| 0.00000| 24.0 
029/0886k| 0.38235| 0.17393| 0.09231| 0.05158| 0.06453| 0.00000| 24.6 
029/0886k| 0.40112| 0.15919| 0.09263| 0.05357| 0.09573| 0.00000| 24.4 
029/0886k| 0.37639| 0.15268| 0.09361| 0.03787| 0.09222| 0.00000| 24.4 
029/0886k| 0.39327| 0.15382| 0.09059| 0.04568| 0.10318| 0.00000| 24.8 
029/0886k| 0.38811| 0.16150| 0.09442| 0.04229| 0.08990| 0.00000| 24.3 
029/0886k| 0.36212| 0.14790| 0.08968| 0.04108| 0.08347| 0.00000| 24.6 
029/0886k| 0.38925| 0.15109| 0.09077| 0.04678| 0.10062| 0.00000| 24.4 
029/0886k| 0.35809| 0.13794| 0.09152| 0.03615| 0.09248| 0.00000| 24.4 
029/0886k| 0.39174| 0.15203| 0.09181| 0.05237| 0.09553| 0.00000| 24.6 
029/0886k| 0.38913| 0.15341| 0.08941| 0.04847| 0.09785| 0.00000| 24.5 
029/0886k| 0.37287| 0.14600| 0.09037| 0.04473| 0.09178| 0.00000| 23.6 
029/0887k| 0.38531| 0.15824| 0.09398| 0.04342| 0.08967| 0.00000| 24.1 
029/0887k| 0.36957| 0.15845| 0.09101| 0.05040| 0.06971| 0.00000| 24.7 
029/0887k| 0.39150| 0.16433| 0.09419| 0.04988| 0.08309| 0.00000| 24.7 
029/0887k| 0.39069| 0.16485| 0.09231| 0.05629| 0.07723| 0.00000| 24.7 
029/0887k| 0.35947| 0.15237| 0.09363| 0.04601| 0.06746| 0.00000| 24.8 
029/0887k| 0.37754| 0.15067| 0.09283| 0.04620| 0.08784| 0.00000| 24.2 
029/0887k| 0.36774| 0.14436| 0.09036| 0.04259| 0.09042| 0.00000| 23.7 
029/0887k| 0.39247| 0.13769| 0.09169| 0.05037| 0.11272| 0.00000| 24.2 
029/0887k| 0.38522| 0.15871| 0.09282| 0.05362| 0.08006| 0.00000| 24.8 
029/0887k| 0.34075| 0.14853| 0.08966| 0.04110| 0.06146| 0.00000| 24.6 
029/0887k| 0.38982| 0.15779| 0.09189| 0.03955| 0.10059| 0.00000| 24.8 
029/0887k| 0.36117| 0.16088| 0.09274| 0.04162| 0.06592| 0.00000| 24.5 
029/0887k| 0.36949| 0.14653| 0.09306| 0.04762| 0.08228| 0.00000| 24.8 
029/0887k| 0.39696| 0.17039| 0.09715| 0.05747| 0.07196| 0.00000| 24.2 
029/0888k| 0.37187| 0.15390| 0.09360| 0.04225| 0.08213| 0.00000| 24.6 
029/0888k| 0.39277| 0.16458| 0.09183| 0.04825| 0.08811| 0.00000| 24.7 
029/0888k| 0.39734| 0.15387| 0.09535| 0.04792| 0.10021| 0.00000| 24.7 
029/0888k| 0.39732| 0.16725| 0.09780| 0.05447| 0.07780| 0.00000| 24.7 
029/0888k| 0.38157| 0.15361| 0.09409| 0.04206| 0.09181| 0.00000| 24.1 
029/0888k| 0.33269| 0.14266| 0.09129| 0.03821| 0.06053| 0.00000| 24.7 
029/0888k| 0.38590| 0.15991| 0.09192| 0.04419| 0.08989| 0.00000| 24.8 
029/0888k| 0.38654| 0.15326| 0.09277| 0.04694| 0.09357| 0.00000| 24.3 
029/0888k| 0.42913| 0.15803| 0.09176| 0.04858| 0.13076| 0.00000| 24.4 
029/0888k| 0.37203| 0.14395| 0.09409| 0.04131| 0.09268| 0.00000| 24.5 
029/0888k| 0.37793| 0.15559| 0.09364| 0.05082| 0.07788| 0.00000| 24.7 
029/0888k| 0.38888| 0.16424| 0.09142| 0.04555| 0.08767| 0.00000| 24.5 
029/0888k| 0.38278| 0.15180| 0.09505| 0.04264| 0.09328| 0.00000| 24.8 
029/0888k| 0.39425| 0.15721| 0.09376| 0.05179| 0.09148| 0.00000| 24.3 
029/0889k| 0.36945| 0.15448| 0.09380| 0.04391| 0.07726| 0.00000| 24.3 
029/0889k| 0.38926| 0.16214| 0.09192| 0.04773| 0.08746| 0.00000| 24.6 
029/0889k| 0.40145| 0.16919| 0.09381| 0.05049| 0.08796| 0.00000| 23.9 
029/0889k| 0.40368| 0.15870| 0.09363| 0.04871| 0.10263| 0.00000| 24.2 
029/0889k| 0.37412| 0.15786| 0.09233| 0.03816| 0.08578| 0.00000| 24.5 
029/0889k| 0.40796| 0.16822| 0.09273| 0.05150| 0.09551| 0.00000| 24.8 
029/0889k| 0.38111| 0.16143| 0.09188| 0.05292| 0.07489| 0.00000| 24.4 
029/0889k| 0.38489| 0.16355| 0.09623| 0.05177| 0.07333| 0.00000| 24.7 
029/0889k| 0.41856| 0.16337| 0.09129| 0.07264| 0.09126| 0.00000| 24.8 
029/0889k| 0.39436| 0.15851| 0.09390| 0.04119| 0.10076| 0.00000| 24.3 
029/0889k| 0.38734| 0.16080| 0.09347| 0.04298| 0.09009| 0.00000| 24.7 
029/0889k| 0.39633| 0.16768| 0.09656| 0.05303| 0.07906| 0.00000| 23.6 
029/0889k| 0.42002| 0.16197| 0.09395| 0.05338| 0.11072| 0.00000| 24.5 
029/0889k| 0.34894| 0.14106| 0.09316| 0.04638| 0.06833| 0.00000| 24.8 
029/0890k| 0.43431| 0.16802| 0.09602| 0.06028| 0.10999| 0.00000| 24.8 
029/0890k| 0.37821| 0.16948| 0.09448| 0.05577| 0.05849| 0.00000| 24.6 
029/0890k| 0.36960| 0.15070| 0.09284| 0.04726| 0.07880| 0.00000| 24.6 
029/0890k| 0.33963| 0.14026| 0.08731| 0.03929| 0.07276| 0.00000| 24.7 
029/0890k| 0.39222| 0.15337| 0.09164| 0.04936| 0.09786| 0.00000| 24.3 
029/0890k| 0.37875| 0.14822| 0.08896| 0.04662| 0.09495| 0.00000| 24.7 
029/0890k| 0.39510| 0.16217| 0.09486| 0.06027| 0.07779| 0.00000| 24.1 
029/0890k| 0.40458| 0.15856| 0.09855| 0.05252| 0.09496| 0.00000| 24.5 
029/0890k| 0.48485| 0.20719| 0.09647| 0.06424| 0.11694| 0.00000| 24.8 
029/0890k| 0.41698| 0.15948| 0.09133| 0.04836| 0.11781| 0.00000| 24.6 
029/0890k| 0.44089| 0.17465| 0.09703| 0.06297| 0.10623| 0.00000| 24.3 
029/0890k| 0.40858| 0.16718| 0.09052| 0.06368| 0.08720| 0.00000| 24.6 
029/0890k| 0.42231| 0.16843| 0.09347| 0.04695| 0.11346| 0.00000| 24.8 
029/0891k| 0.40017| 0.15499| 0.09474| 0.04511| 0.10533| 0.00000| 24.3 
029/0891k| 0.38407| 0.16046| 0.09337| 0.05090| 0.07933| 0.00000| 24.5 
029/0891k| 0.34505| 0.14349| 0.08652| 0.03924| 0.07581| 0.00000| 24.5 
029/0891k| 0.39692| 0.15746| 0.09053| 0.05653| 0.09240| 0.00000| 24.4 
029/0891k| 0.40709| 0.15651| 0.09297| 0.05062| 0.10699| 0.00000| 24.3 
029/0891k| 0.39291| 0.15675| 0.09198| 0.04509| 0.09909| 0.00000| 24.2 
029/0891k| 0.43404| 0.16838| 0.09357| 0.06261| 0.10948| 0.00000| 24.6 
029/0891k| 0.39230| 0.14459| 0.08929| 0.04076| 0.11765| 0.00000| 24.4 
029/0891k| 0.38838| 0.15558| 0.09315| 0.05189| 0.08776| 0.00000| 24.6 
029/0891k| 0.40688| 0.15891| 0.09485| 0.04627| 0.10685| 0.00000| 23.9 
029/0891k| 0.38267| 0.15388| 0.09173| 0.04648| 0.09058| 0.00000| 24.5 
029/0891k| 0.37207| 0.16267| 0.09406| 0.04904| 0.06631| 0.00000| 24.5 
029/0891k| 0.41854| 0.16674| 0.09285| 0.05231| 0.10664| 0.00000| 24.5 
029/0891k| 0.37225| 0.15116| 0.08961| 0.04367| 0.08781| 0.00000| 24.7 
029/0892k| 0.39350| 0.15104| 0.09207| 0.05082| 0.09956| 0.00000| 24.7 
029/0892k| 0.36461| 0.17497| 0.09242| 0.04913| 0.04810| 0.00000| 24.7 
029/0892k| 0.36094| 0.14648| 0.09009| 0.04175| 0.08261| 0.00000| 24.7 
029/0892k| 0.39182| 0.16897| 0.09587| 0.05040| 0.07659| 0.00000| 24.6 
029/0892k| 0.39126| 0.14986| 0.09297| 0.05047| 0.09796| 0.00000| 24.2 
029/0892k| 0.40440| 0.16015| 0.09226| 0.05542| 0.09657| 0.00000| 23.5 
029/0892k| 0.35764| 0.14633| 0.08794| 0.04194| 0.08143| 0.00000| 24.1 
029/0892k| 0.36680| 0.15472| 0.09457| 0.04872| 0.06879| 0.00000| 24.7 
029/0892k| 0.38116| 0.15720| 0.09216| 0.04884| 0.08296| 0.00000| 24.6 
029/0892k| 0.38513| 0.16162| 0.09587| 0.05267| 0.07497| 0.00000| 23.8 
029/0892k| 0.39838| 0.16138| 0.09335| 0.05848| 0.08517| 0.00000| 24.4 
029/0892k| 0.38769| 0.15518| 0.09276| 0.04843| 0.09131| 0.00000| 24.1 
029/0892k| 0.37167| 0.14884| 0.09282| 0.04559| 0.08442| 0.00000| 23.9 
029/0892k| 0.37890| 0.15439| 0.08894| 0.04775| 0.08781| 0.00000| 24.6 
